comune,provincia,regione,url,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE_perc,LISTA ANDREA ORLANDO PRESIDENTE,LISTA ANDREA ORLANDO PRESIDENTE_perc,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA_perc,MOVIMENTO 5 STELLE 2050,MOVIMENTO 5 STELLE 2050_perc,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA_perc,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,LIGURI A TESTA ALTA ORLANDO PRESIDENTE_perc,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA_perc,ORGOGLIO LIGURIA BUCCI PRESIDENTE,ORGOGLIO LIGURIA BUCCI PRESIDENTE_perc,BUCCI PRESIDENTE VINCE LIGURIA,BUCCI PRESIDENTE VINCE LIGURIA_perc,LEGA LIGURIA BUCCI PRESIDENTE,LEGA LIGURIA BUCCI PRESIDENTE_perc,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE_perc,BUCCI LIBERTAS UDC,BUCCI LIBERTAS UDC_perc,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE_perc,UNITI PER LA COSTITUZIONE,UNITI PER LA COSTITUZIONE_perc,DEMOCRAZIA SOVRANA POPOLARE,DEMOCRAZIA SOVRANA POPOLARE_perc,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA_perc,FORZA DEL POPOLO,FORZA DEL POPOLO_perc,PARTITO COMUNISTA DEI LAVORATORI,PARTITO COMUNISTA DEI LAVORATORI_perc,INDIPENDENZA! ALEMANNO PER ROSSON,INDIPENDENZA! ALEMANNO PER ROSSON_perc,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA'_perc,ANDREA ORLANDO_total_votes,ANDREA ORLANDO_total_perc,MARCO BUCCI_total_votes,MARCO BUCCI_total_perc,NICOLA MORRA_total_votes,NICOLA MORRA_total_perc,FRANCESCO TOSCANO_total_votes,FRANCESCO TOSCANO_total_perc,NICOLA ROLLANDO_total_votes,NICOLA ROLLANDO_total_perc,DAVIDE FELICE_total_votes,DAVIDE FELICE_total_perc,MARCO GIUSEPPE FERRANDO_total_votes,MARCO GIUSEPPE FERRANDO_total_perc,ALESSANDRO ROSSON_total_votes,ALESSANDRO ROSSON_total_perc,MARIA ANTONIETTA CELLA_total_votes,MARIA ANTONIETTA CELLA_total_perc,,None_perc
Ne,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340400,207,"25,43",33,"4,05",17,"2,09",36,"4,42",11,"1,35",4,"0,49",99,"12,16",50,"6,14",68,"8,35",100,"12,29",136,"16,71",12,"1,47",0,0,6,"0,74",9,"1,11",13,"1,60",0,0,4.0,"0,49",2,"0,25",7.0,"0,86",307,"36,33",488,"57,75",7,"0,83",10,"1,18",17,"2,01",0,0,5,"0,59",2,"0,24",9,"1,07",,
Neirone,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340410,48,"14,46",19,"5,72",9,"2,71",29,"8,73",6,"1,81",1,"0,30",33,"9,94",104,"31,33",18,"5,42",32,"9,64",13,"3,92",2,"0,60",3,"0,90",1,"0,30",4,"1,20",6,"1,81",1,"0,30",1.0,"0,30",2,"0,60",0.0,0,119,"34,39",212,"61,27",1,"0,29",4,"1,16",6,"1,73",1,"0,29",1,"0,29",2,"0,58",0,0,,
Orero,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340420,20,"9,01",4,"1,80",6,"2,70",17,"7,66",3,"1,35",3,"1,35",36,"16,22",46,"20,72",13,"5,86",50,"22,52",10,"4,50",2,"0,90",0,0,1,"0,45",3,"1,35",4,"1,80",1,"0,45",0.0,0,2,"0,90",1.0,"0,45",52,"22,81",161,"70,61",1,"0,44",3,"1,32",4,"1,75",2,"0,88",0,0,2,"0,88",3,"1,32",,
Pieve Ligure,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340430,272,"23,78",71,"6,21",68,"5,94",25,"2,19",18,"1,57",106,"9,27",153,"13,37",80,"6,99",167,"14,60",66,"5,77",61,"5,33",14,"1,22",2,"0,17",11,"0,96",14,"1,22",5,"0,44",4,"0,35",1.0,"0,09",1,"0,09",5.0,"0,44",592,"48,68",586,"48,19",8,"0,66",14,"1,15",4,"0,33",4,"0,33",1,"0,08",1,"0,08",6,"0,49",,
Portofino,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340440,11,"7,86",0,0,2,"1,43",1,"0,71",2,"1,43",2,"1,43",25,"17,86",12,"8,57",48,"34,29",10,"7,14",20,"14,29",2,"1,43",1,"0,71",0,0,0,0,0,0,2,"1,43",0.0,0,1,"0,71",1.0,"0,71",18,"10,91",145,"87,88",0,0,0,0,0,0,2,"1,21",0,0,0,0,0,0,,
Propata,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340450,19,"38,78",1,"2,04",4,"8,16",1,"2,04",0,0,1,"2,04",4,"8,16",0,0,0,0,14,"28,57",1,"2,04",0,0,1,"2,04",1,"2,04",0,0,2,"4,08",0,0,0.0,0,0,0,0.0,0,28,"53,85",21,"40,38",1,"1,92",0,0,2,"3,85",0,0,0,0,0,0,0,0,,
Rapallo,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340460,1636,"16,00",419,"4,10",344,"3,36",406,"3,97",105,"1,03",342,"3,34",1338,"13,08",525,"5,13",1068,"10,44",524,"5,12",2484,"24,29",379,"3,71",95,"0,93",67,"0,66",69,"0,67",216,"2,11",16,"0,16",31.0,"0,30",66,"0,65",96.0,"0,94",3582,"33,11",6665,"61,62",83,"0,77",75,"0,69",183,"1,69",18,"0,17",35,"0,32",63,"0,58",113,"1,04",,
Recco,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340470,878,"21,55",269,"6,60",183,"4,49",135,"3,31",64,"1,57",54,"1,33",882,"21,64",273,"6,70",367,"9,01",380,"9,33",356,"8,74",76,"1,87",24,"0,59",17,"0,42",30,"0,74",21,"0,52",22,"0,54",12.0,"0,29",9,"0,22",23.0,"0,56",1684,"38,63",2513,"57,65",24,"0,55",37,"0,85",26,"0,60",26,"0,60",13,"0,30",11,"0,25",25,"0,57",,
Rezzoaglio,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340480,27,"7,69",6,"1,71",58,"16,52",6,"1,71",1,"0,28",1,"0,28",57,"16,24",41,"11,68",22,"6,27",40,"11,40",19,"5,41",5,"1,42",1,"0,28",2,"0,57",0,0,0,0,0,0,1.0,"0,28",0,0,64.0,"18,23",100,"26,95",191,"51,48",2,"0,54",0,0,0,0,0,0,1,"0,27",0,0,77,"20,75",,
Ronco Scrivia,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340490,511,"32,26",45,"2,84",34,"2,15",45,"2,84",11,"0,69",18,"1,14",242,"15,28",167,"10,54",216,"13,64",165,"10,42",55,"3,47",16,"1,01",1,"0,06",12,"0,76",18,"1,14",11,"0,69",9,"0,57",8.0,"0,51",0,0,0.0,0,683,"40,49",945,"56,02",13,"0,77",17,"1,01",11,"0,65",8,"0,47",8,"0,47",0,0,2,"0,12",,
Rondanina,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340500,3,"14,29",1,"4,76",0,0,0,0,0,0,1,"4,76",0,0,4,"19,05",4,"19,05",6,"28,57",1,"4,76",0,0,0,0,0,0,1,"4,76",0,0,0,0,0.0,0,0,0,0.0,0,6,"24,00",18,"72,00",0,0,1,"4,00",0,0,0,0,0,0,0,0,0,0,,
Rossiglione,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340510,765,"63,12",14,"1,16",20,"1,65",34,"2,81",8,"0,66",6,"0,50",92,"7,59",61,"5,03",64,"5,28",66,"5,45",31,"2,56",19,"1,57",0,0,6,"0,50",7,"0,58",9,"0,74",2,"0,17",5.0,"0,41",2,"0,17",1.0,"0,08",843,"67,22",378,"30,14",5,"0,40",5,"0,40",10,"0,80",2,"0,16",6,"0,48",2,"0,16",3,"0,24",,
Rovegno,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340520,32,"14,61",27,"12,33",2,"0,91",9,"4,11",0,0,1,"0,46",24,"10,96",11,"5,02",53,"24,20",38,"17,35",9,"4,11",1,"0,46",1,"0,46",0,0,4,"1,83",3,"1,37",1,"0,46",0.0,0,0,0,3.0,"1,37",75,"33,63",137,"61,43",0,0,4,"1,79",3,"1,35",1,"0,45",0,0,0,0,3,"1,35",,
San Colombano Certenoli,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340530,166,"17,38",32,"3,35",24,"2,51",80,"8,38",9,"0,94",5,"0,52",151,"15,81",121,"12,67",69,"7,23",135,"14,14",91,"9,53",19,"1,99",4,"0,42",2,"0,21",8,"0,84",9,"0,94",5,"0,52",6.0,"0,63",2,"0,21",17.0,"1,78",322,"32,89",602,"61,49",2,"0,20",8,"0,82",10,"1,02",5,"0,51",6,"0,61",3,"0,31",21,"2,15",,
Santa Margherita Ligure,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340540,699,"20,64",123,"3,63",95,"2,80",89,"2,63",50,"1,48",30,"0,89",832,"24,56",201,"5,93",272,"8,03",206,"6,08",537,"15,85",111,"3,28",17,"0,50",15,"0,44",26,"0,77",35,"1,03",8,"0,24",13.0,"0,38",8,"0,24",20.0,"0,59",1143,"32,19",2286,"64,38",16,"0,45",27,"0,76",30,"0,84",8,"0,23",13,"0,37",8,"0,23",20,"0,56",,
Sant'Olcese,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340550,1605,"57,53",91,"3,26",84,"3,01",77,"2,76",23,"0,82",21,"0,75",236,"8,46",143,"5,13",146,"5,23",159,"5,70",69,"2,47",36,"1,29",4,"0,14",29,"1,04",28,"1,00",16,"0,57",7,"0,25",11.0,"0,39",0,0,5.0,"0,18",1901,"65,55",896,"30,90",34,"1,17",31,"1,07",15,"0,52",7,"0,24",11,"0,38",0,0,5,"0,17",,
Santo Stefano D'Aveto,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340560,38,"9,03",6,"1,43",12,"2,85",5,"1,19",0,0,4,"0,95",34,"8,08",41,"9,74",27,"6,41",58,"13,78",24,"5,70",23,"5,46",0,0,15,"3,56",1,"0,24",1,"0,24",2,"0,48",1.0,"0,24",0,0,129.0,"30,64",71,"15,88",229,"51,23",15,"3,36",1,"0,22",1,"0,22",2,"0,45",1,"0,22",0,0,127,"28,41",,
Savignone,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340570,277,"23,49",64,"5,43",44,"3,73",46,"3,90",13,"1,10",12,"1,02",159,"13,49",122,"10,35",197,"16,71",103,"8,74",48,"4,07",33,"2,80",5,"0,42",20,"1,70",18,"1,53",8,"0,68",2,"0,17",5.0,"0,42",0,0,3.0,"0,25",479,"37,99",724,"57,41",19,"1,51",20,"1,59",7,"0,56",2,"0,16",5,"0,40",1,"0,08",4,"0,32",,
Serra Ricco',Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340580,1320,"40,34",140,"4,28",142,"4,34",138,"4,22",82,"2,51",27,"0,83",357,"10,91",227,"6,94",315,"9,63",254,"7,76",104,"3,18",52,"1,59",7,"0,21",26,"0,79",26,"0,79",22,"0,67",5,"0,15",19.0,"0,58",2,"0,06",7.0,"0,21",1863,"54,08",1466,"42,55",26,"0,75",27,"0,78",27,"0,78",5,"0,15",20,"0,58",2,"0,06",9,"0,26",,
Sestri Levante,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340590,2042,"29,31",313,"4,49",237,"3,40",283,"4,06",152,"2,18",99,"1,42",1008,"14,47",381,"5,47",439,"6,30",462,"6,63",939,"13,48",117,"1,68",81,"1,16",41,"0,59",53,"0,76",221,"3,17",16,"0,23",31.0,"0,44",10,"0,14",43.0,"0,62",3251,"44,02",3640,"49,29",48,"0,65",59,"0,80",273,"3,70",18,"0,24",35,"0,47",11,"0,15",50,"0,68",,
Sori,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340600,350,"23,26",104,"6,91",89,"5,91",67,"4,45",19,"1,26",43,"2,86",170,"11,30",109,"7,24",111,"7,38",258,"17,14",102,"6,78",21,"1,40",3,"0,20",12,"0,80",18,"1,20",16,"1,06",6,"0,40",5.0,"0,33",2,"0,13",0.0,0,819,"43,96",983,"52,76",12,"0,64",18,"0,97",18,"0,97",6,"0,32",5,"0,27",2,"0,11",0,0,,
Tiglieto,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340610,98,"42,06",8,"3,43",6,"2,58",4,"1,72",4,"1,72",1,"0,43",36,"15,45",22,"9,44",12,"5,15",20,"8,58",17,"7,30",3,"1,29",0,0,0,0,1,"0,43",1,"0,43",0,0,0.0,0,0,0,0.0,0,120,"49,38",120,"49,38",0,0,1,"0,41",2,"0,82",0,0,0,0,0,0,0,0,,
Torriglia,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340620,151,"16,80",48,"5,34",42,"4,67",42,"4,67",10,"1,11",7,"0,78",168,"18,69",72,"8,01",73,"8,12",204,"22,69",38,"4,23",6,"0,67",2,"0,22",8,"0,89",7,"0,78",11,"1,22",1,"0,11",2.0,"0,22",5,"0,56",2.0,"0,22",310,"32,77",594,"62,79",10,"1,06",7,"0,74",12,"1,27",1,"0,11",2,"0,21",6,"0,63",4,"0,42",,
Tribogna,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340630,30,"13,82",7,"3,23",5,"2,30",21,"9,68",5,"2,30",0,0,20,"9,22",43,"19,82",18,"8,29",21,"9,68",32,"14,75",4,"1,84",0,0,0,0,2,"0,92",2,"0,92",0,0,3.0,"1,38",1,"0,46",3.0,"1,38",71,"31,98",139,"62,61",0,0,2,"0,90",3,"1,35",0,0,3,"1,35",1,"0,45",3,"1,35",,
Uscio,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340640,159,"19,97",36,"4,52",48,"6,03",35,"4,40",8,"1,01",8,"1,01",124,"15,58",164,"20,60",64,"8,04",59,"7,41",36,"4,52",22,"2,76",4,"0,50",4,"0,50",13,"1,63",6,"0,75",2,"0,25",4.0,"0,50",0,0,0.0,0,307,"37,30",483,"58,69",4,"0,49",16,"1,94",6,"0,73",3,"0,36",4,"0,49",0,0,0,0,,
Valbrevenna,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340650,80,"25,64",16,"5,13",30,"9,62",11,"3,53",5,"1,60",2,"0,64",41,"13,14",23,"7,37",43,"13,78",21,"6,73",10,"3,21",8,"2,56",0,0,5,"1,60",6,"1,92",7,"2,24",1,"0,32",2.0,"0,64",0,0,1.0,"0,32",145,"43,94",164,"49,70",5,"1,52",5,"1,52",7,"2,12",2,"0,61",1,"0,30",0,0,1,"0,30",,
Vobbia,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340660,53,"31,93",3,"1,81",9,"5,42",5,"3,01",0,0,0,0,22,"13,25",14,"8,43",23,"13,86",19,"11,45",3,"1,81",7,"4,22",1,"0,60",0,0,2,"1,20",0,0,1,"0,60",3.0,"1,81",1,"0,60",0.0,0,71,"41,04",96,"55,49",0,0,2,"1,16",0,0,1,"0,58",2,"1,16",1,"0,58",0,0,,
Zoagli,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340670,162,"17,94",38,"4,21",25,"2,77",46,"5,09",9,"1,00",14,"1,55",135,"14,95",73,"8,08",99,"10,96",62,"6,87",148,"16,39",30,"3,32",6,"0,66",11,"1,22",13,"1,44",11,"1,22",7,"0,78",1.0,"0,11",6,"0,66",7.0,"0,78",311,"32,40",588,"61,25",12,"1,25",12,"1,25",12,"1,25",8,"0,83",2,"0,21",6,"0,63",9,"0,94",,
Airole,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370010,52,"36,36",6,"4,20",8,"5,59",4,"2,80",0,0,0,0,9,"6,29",5,"3,50",2,"1,40",44,"30,77",9,"6,29",0,0,0,0,1,"0,70",1,"0,70",0,0,1,"0,70",,,1,"0,70",0.0,0,72,"49,32",67,"45,89",1,"0,68",3,"2,05",0,0,1,"0,68",1,"0,68",1,"0,68",0,0,,0
Apricale,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370020,25,"21,01",7,"5,88",14,"11,76",10,"8,40",0,0,1,"0,84",19,"15,97",1,"0,84",4,"3,36",15,"12,61",12,"10,08",1,"0,84",0,0,1,"0,84",2,"1,68",3,"2,52",4,"3,36",,,0,0,0.0,0,63,"47,37",61,"45,86",1,"0,75",2,"1,50",3,"2,26",3,"2,26",0,0,0,0,0,0,,0
Aquila D'Arroscia,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370030,4,"4,60",0,0,0,0,0,0,0,0,0,0,2,"2,30",1,"1,15",0,0,57,"65,52",22,"25,29",0,0,0,0,0,0,0,0,0,0,1,"1,15",,,0,0,0.0,0,4,"4,60",82,"94,25",0,0,0,0,0,0,1,"1,15",0,0,0,0,0,0,,0
Armo,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370040,7,"14,00",1,"2,00",1,"2,00",1,"2,00",0,0,0,0,2,"4,00",0,0,0,0,12,"24,00",24,"48,00",0,0,0,0,0,0,0,0,2,"4,00",0,0,,,0,0,0.0,0,10,"20,00",38,"76,00",0,0,0,0,2,"4,00",0,0,0,0,0,0,0,0,,0
Aurigo,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370041,30,"20,13",3,"2,01",5,"3,36",2,"1,34",1,"0,67",0,0,16,"10,74",5,"3,36",10,"6,71",40,"26,85",32,"21,48",1,"0,67",0,0,0,0,0,0,3,"2,01",1,"0,67",,,0,0,0.0,0,47,"30,13",104,"66,67",0,0,0,0,3,"1,92",1,"0,64",0,0,0,0,1,"0,64",,0
Badalucco,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370050,92,"25,92",20,"5,63",22,"6,20",21,"5,92",0,0,1,"0,28",37,"10,42",8,"2,25",18,"5,07",24,"6,76",93,"26,20",2,"0,56",1,"0,28",2,"0,56",6,"1,69",8,"2,25",0,0,,,0,0,0.0,0,161,"43,63",191,"51,76",2,"0,54",7,"1,90",8,"2,17",0,0,0,0,0,0,0,0,,0
Bajardo,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370060,17,"17,35",3,"3,06",2,"2,04",3,"3,06",1,"1,02",1,"1,02",17,"17,35",3,"3,06",1,"1,02",21,"21,43",23,"23,47",0,0,0,0,0,0,0,0,5,"5,10",1,"1,02",,,0,0,0.0,0,30,"27,78",66,"61,11",0,0,3,"2,78",7,"6,48",1,"0,93",0,0,1,"0,93",0,0,,0
Bordighera,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370070,758,"23,66",74,"2,31",91,"2,84",101,"3,15",14,"0,44",13,"0,41",718,"22,41",233,"7,27",73,"2,28",603,"18,82",337,"10,52",44,"1,37",5,"0,16",17,"0,53",32,"1,00",30,"0,94",13,"0,41",,,38,"1,19",10.0,"0,31",1112,"33,13",2091,"62,31",18,"0,54",40,"1,19",31,"0,92",16,"0,48",0,0,39,"1,16",9,"0,27",,0
Borghetto D'Arroscia,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370080,18,"15,25",3,"2,54",6,"5,08",4,"3,39",2,"1,69",0,0,9,"7,63",2,"1,69",6,"5,08",36,"30,51",27,"22,88",1,"0,85",1,"0,85",0,0,2,"1,69",0,0,0,0,,,1,"0,85",0.0,0,34,"28,33",83,"69,17",0,0,2,"1,67",0,0,0,0,0,0,1,"0,83",0,0,,0
Borgomaro,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370090,43,"16,67",2,"0,78",13,"5,04",2,"0,78",2,"0,78",1,"0,39",51,"19,77",17,"6,59",15,"5,81",69,"26,74",31,"12,02",3,"1,16",0,0,0,0,3,"1,16",3,"1,16",2,"0,78",,,1,"0,39",0.0,0,63,"23,08",199,"72,89",0,0,3,"1,10",4,"1,47",2,"0,73",0,0,2,"0,73",0,0,,0
Camporosso,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370100,528,"31,64",29,"1,74",17,"1,02",58,"3,48",5,"0,30",12,"0,72",318,"19,05",70,"4,19",25,"1,50",275,"16,48",274,"16,42",17,"1,02",3,"0,18",1,"0,06",12,"0,72",11,"0,66",6,"0,36",,,6,"0,36",2.0,"0,12",668,"38,52",1023,"59,00",1,"0,06",12,"0,69",11,"0,63",6,"0,35",5,"0,29",6,"0,35",2,"0,12",,0
Caravonica,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370110,15,"12,82",0,0,0,0,2,"1,71",0,0,0,0,12,"10,26",1,"0,85",0,0,54,"46,15",27,"23,08",1,"0,85",0,0,0,0,2,"1,71",2,"1,71",0,0,,,0,0,1.0,"0,85",20,"16,26",97,"78,86",0,0,2,"1,63",2,"1,63",0,0,0,0,1,"0,81",1,"0,81",,0
Castellaro,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370130,93,"22,57",11,"2,67",14,"3,40",21,"5,10",0,0,4,"0,97",80,"19,42",6,"1,46",12,"2,91",46,"11,17",106,"25,73",8,"1,94",1,"0,24",1,"0,24",2,"0,49",2,"0,49",3,"0,73",,,0,0,2.0,"0,49",152,"34,86",271,"62,16",1,"0,23",2,"0,46",2,"0,46",6,"1,38",0,0,0,0,2,"0,46",,0
Castel Vittorio,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370140,24,"25,00",5,"5,21",2,"2,08",2,"2,08",0,0,0,0,20,"20,83",2,"2,08",2,"2,08",15,"15,63",20,"20,83",0,0,0,0,1,"1,04",0,0,0,0,3,"3,13",,,0,0,0.0,0,34,"34,69",60,"61,22",1,"1,02",0,0,0,0,3,"3,06",0,0,0,0,0,0,,0
Ceriana,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370150,33,"14,10",10,"4,27",9,"3,85",6,"2,56",0,0,1,"0,43",53,"22,65",14,"5,98",6,"2,56",43,"18,38",37,"15,81",4,"1,71",0,0,9,"3,85",1,"0,43",4,"1,71",2,"0,85",,,0,0,2.0,"0,85",67,"27,13",162,"65,59",9,"3,64",1,"0,40",4,"1,62",2,"0,81",0,0,0,0,2,"0,81",,0
Cervo,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370160,84,"25,77",7,"2,15",9,"2,76",10,"3,07",11,"3,37",15,"4,60",55,"16,87",21,"6,44",17,"5,21",31,"9,51",50,"15,34",6,"1,84",0,0,0,0,4,"1,23",1,"0,31",3,"0,92",,,0,0,2.0,"0,61",136,"40,48",187,"55,65",2,"0,60",3,"0,89",3,"0,89",2,"0,60",1,"0,30",0,0,2,"0,60",,0
Cesio,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370170,11,"11,58",2,"2,11",3,"3,16",1,"1,05",16,"16,84",0,0,14,"14,74",5,"5,26",4,"4,21",25,"26,32",9,"9,47",1,"1,05",0,0,2,"2,11",0,0,1,"1,05",0,0,,,0,0,1.0,"1,05",34,"34,69",60,"61,22",2,"2,04",0,0,1,"1,02",0,0,0,0,0,0,1,"1,02",,0
Chiusanico,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370180,44,"18,97",8,"3,45",7,"3,02",5,"2,16",6,"2,59",0,0,23,"9,91",8,"3,45",13,"5,60",62,"26,72",42,"18,10",2,"0,86",0,0,1,"0,43",5,"2,16",3,"1,29",2,"0,86",,,1,"0,43",0.0,0,86,"34,54",153,"61,45",0,0,5,"2,01",2,"0,80",2,"0,80",0,0,1,"0,40",0,0,,0
Chiusavecchia,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370190,24,"16,44",5,"3,42",6,"4,11",2,"1,37",2,"1,37",0,0,15,"10,27",7,"4,79",7,"4,79",41,"28,08",32,"21,92",2,"1,37",1,"0,68",0,0,0,0,2,"1,37",0,0,,,0,0,0.0,0,42,"27,63",108,"71,05",0,0,0,0,0,0,1,"0,66",0,0,1,"0,66",0,0,,0
Cipressa,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370200,123,"29,57",15,"3,61",12,"2,88",15,"3,61",2,"0,48",4,"0,96",65,"15,63",19,"4,57",46,"11,06",49,"11,78",41,"9,86",6,"1,44",1,"0,24",2,"0,48",4,"0,96",10,"2,40",0,0,,,1,"0,24",1.0,"0,24",179,"41,15",234,"53,79",2,"0,46",4,"0,92",11,"2,53",1,"0,23",1,"0,23",1,"0,23",2,"0,46",,0
Civezza,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370210,52,"25,00",6,"2,88",17,"8,17",5,"2,40",0,0,0,0,24,"11,54",11,"5,29",15,"7,21",29,"13,94",40,"19,23",2,"0,96",1,"0,48",3,"1,44",2,"0,96",1,"0,48",0,0,,,0,0,0.0,0,86,"39,45",125,"57,34",4,"1,83",2,"0,92",1,"0,46",0,0,0,0,0,0,0,0,,0
