comune,provincia,regione,url,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE_perc,LISTA ANDREA ORLANDO PRESIDENTE,LISTA ANDREA ORLANDO PRESIDENTE_perc,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA_perc,MOVIMENTO 5 STELLE 2050,MOVIMENTO 5 STELLE 2050_perc,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA_perc,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,LIGURI A TESTA ALTA ORLANDO PRESIDENTE_perc,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA_perc,ORGOGLIO LIGURIA BUCCI PRESIDENTE,ORGOGLIO LIGURIA BUCCI PRESIDENTE_perc,BUCCI PRESIDENTE VINCE LIGURIA,BUCCI PRESIDENTE VINCE LIGURIA_perc,LEGA LIGURIA BUCCI PRESIDENTE,LEGA LIGURIA BUCCI PRESIDENTE_perc,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE_perc,BUCCI LIBERTAS UDC,BUCCI LIBERTAS UDC_perc,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE_perc,UNITI PER LA COSTITUZIONE,UNITI PER LA COSTITUZIONE_perc,DEMOCRAZIA SOVRANA POPOLARE,DEMOCRAZIA SOVRANA POPOLARE_perc,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA_perc,FORZA DEL POPOLO,FORZA DEL POPOLO_perc,PARTITO COMUNISTA DEI LAVORATORI,PARTITO COMUNISTA DEI LAVORATORI_perc,INDIPENDENZA! ALEMANNO PER ROSSON,INDIPENDENZA! ALEMANNO PER ROSSON_perc,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA'_perc,ANDREA ORLANDO_total_votes,ANDREA ORLANDO_total_perc,MARCO BUCCI_total_votes,MARCO BUCCI_total_perc,NICOLA MORRA_total_votes,NICOLA MORRA_total_perc,FRANCESCO TOSCANO_total_votes,FRANCESCO TOSCANO_total_perc,NICOLA ROLLANDO_total_votes,NICOLA ROLLANDO_total_perc,DAVIDE FELICE_total_votes,DAVIDE FELICE_total_perc,MARCO GIUSEPPE FERRANDO_total_votes,MARCO GIUSEPPE FERRANDO_total_perc,ALESSANDRO ROSSON_total_votes,ALESSANDRO ROSSON_total_perc,MARIA ANTONIETTA CELLA_total_votes,MARIA ANTONIETTA CELLA_total_perc,,None_perc
Cosio D'Arroscia,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370220,9,"9,68",2,"2,15",0,0,1,"1,08",2,"2,15",0,0,7,"7,53",1,"1,08",5,"5,38",44,"47,31",17,"18,28",0,0,0,0,1,"1,08",0,0,2,"2,15",2,"2,15",,,0,0,0.0,0,13,"13,40",79,"81,44",1,"1,03",0,0,2,"2,06",2,"2,06",0,0,0,0,0,0,,0
Costarainera,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370221,48,"18,05",12,"4,51",13,"4,89",6,"2,26",4,"1,50",2,"0,75",31,"11,65",6,"2,26",90,"33,83",19,"7,14",23,"8,65",1,"0,38",0,0,4,"1,50",3,"1,13",3,"1,13",1,"0,38",,,0,0,0.0,0,102,"33,22",194,"63,19",4,"1,30",3,"0,98",2,"0,65",1,"0,33",1,"0,33",0,0,0,0,,0
Diano Arentino,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370230,27,"14,44",8,"4,28",5,"2,67",7,"3,74",1,"0,53",1,"0,53",27,"14,44",29,"15,51",8,"4,28",38,"20,32",21,"11,23",1,"0,53",0,0,0,0,1,"0,53",2,"1,07",8,"4,28",,,3,"1,60",0.0,0,59,"29,50",127,"63,50",0,0,1,"0,50",2,"1,00",8,"4,00",0,0,3,"1,50",0,0,,0
Diano Castello,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370240,127,"19,57",11,"1,69",17,"2,62",19,"2,93",1,"0,15",9,"1,39",123,"18,95",59,"9,09",40,"6,16",80,"12,33",129,"19,88",11,"1,69",2,"0,31",1,"0,15",3,"0,46",6,"0,92",6,"0,92",,,2,"0,31",3.0,"0,46",190,"27,98",464,"68,34",1,"0,15",4,"0,59",7,"1,03",6,"0,88",1,"0,15",3,"0,44",3,"0,44",,0
Diano Marina,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370250,373,"20,90",37,"2,07",45,"2,52",48,"2,69",15,"0,84",36,"2,02",377,"21,12",141,"7,90",105,"5,88",215,"12,04",288,"16,13",21,"1,18",3,"0,17",10,"0,56",12,"0,67",33,"1,85",17,"0,95",,,7,"0,39",2.0,"0,11",567,"30,26",1221,"65,15",13,"0,69",12,"0,64",34,"1,81",17,"0,91",1,"0,05",7,"0,37",2,"0,11",,0
Diano San Pietro,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370260,66,"18,33",11,"3,06",11,"3,06",6,"1,67",2,"0,56",9,"2,50",57,"15,83",60,"16,67",13,"3,61",68,"18,89",36,"10,00",6,"1,67",0,0,0,0,2,"0,56",10,"2,78",1,"0,28",,,2,"0,56",0.0,0,115,"30,59",245,"65,16",1,"0,27",3,"0,80",9,"2,39",1,"0,27",0,0,2,"0,53",0,0,,0
Dolceacqua,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370270,195,"30,66",12,"1,89",23,"3,62",31,"4,87",8,"1,26",0,0,132,"20,75",22,"3,46",4,"0,63",99,"15,57",91,"14,31",4,"0,63",1,"0,16",2,"0,31",8,"1,26",4,"0,63",0,0,,,0,0,0.0,0,274,"41,64",353,"53,65",2,"0,30",17,"2,58",8,"1,22",2,"0,30",0,0,1,"0,15",1,"0,15",,0
Dolcedo,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370280,119,"29,90",7,"1,76",29,"7,29",8,"2,01",2,"0,50",1,"0,25",69,"17,34",11,"2,76",21,"5,28",36,"9,05",70,"17,59",6,"1,51",1,"0,25",4,"1,01",4,"1,01",7,"1,76",1,"0,25",,,1,"0,25",1.0,"0,25",177,"41,94",225,"53,32",4,"0,95",4,"0,95",8,"1,90",1,"0,24",0,0,2,"0,47",1,"0,24",,0
Imperia,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370290,4519,"32,46",286,"2,05",604,"4,34",363,"2,61",250,"1,80",63,"0,45",1818,"13,06",424,"3,05",578,"4,15",1364,"9,80",2934,"21,07",132,"0,95",31,"0,22",63,"0,45",114,"0,82",186,"1,34",105,"0,75",,,69,"0,50",19.0,"0,14",6279,"43,29",7623,"52,55",75,"0,52",126,"0,87",183,"1,26",110,"0,76",16,"0,11",70,"0,48",24,"0,17",,0
Isolabona,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370300,73,"33,18",2,"0,91",8,"3,64",4,"1,82",0,0,1,"0,45",51,"23,18",5,"2,27",3,"1,36",26,"11,82",39,"17,73",1,"0,45",0,0,0,0,1,"0,45",3,"1,36",0,0,,,1,"0,45",2.0,"0,91",88,"38,77",131,"57,71",0,0,1,"0,44",3,"1,32",0,0,1,"0,44",1,"0,44",2,"0,88",,0
Lucinasco,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370301,29,"30,21",0,0,0,0,3,"3,13",2,"2,08",0,0,8,"8,33",3,"3,13",2,"2,08",38,"39,58",10,"10,42",0,0,0,0,0,0,0,0,1,"1,04",0,0,,,0,0,0.0,0,34,"35,05",61,"62,89",0,0,0,0,1,"1,03",1,"1,03",0,0,0,0,0,0,,0
Mendatica,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370310,16,"17,58",1,"1,10",3,"3,30",1,"1,10",7,"7,69",0,0,11,"12,09",5,"5,49",3,"3,30",25,"27,47",13,"14,29",3,"3,30",0,0,0,0,0,0,0,0,3,"3,30",,,0,0,0.0,0,30,"31,58",62,"65,26",0,0,0,0,0,0,3,"3,16",0,0,0,0,0,0,,0
Molini Di Triora,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370320,24,"15,48",5,"3,23",16,"10,32",7,"4,52",0,0,0,0,36,"23,23",1,"0,65",6,"3,87",16,"10,32",33,"21,29",3,"1,94",0,0,2,"1,29",2,"1,29",1,"0,65",0,0,,,2,"1,29",1.0,"0,65",54,"34,39",93,"59,24",3,"1,91",3,"1,91",1,"0,64",0,0,0,0,2,"1,27",1,"0,64",,0
Montalto Carpasio,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370325,43,"29,66",4,"2,76",15,"10,34",4,"2,76",0,0,1,"0,69",15,"10,34",7,"4,83",3,"2,07",20,"13,79",30,"20,69",1,"0,69",0,0,0,0,1,"0,69",1,"0,69",0,0,,,0,0,0.0,0,69,"44,52",82,"52,90",0,0,1,"0,65",3,"1,94",0,0,0,0,0,0,0,0,,0
Montegrosso Pian Latte,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370340,13,"18,84",3,"4,35",0,0,0,0,3,"4,35",1,"1,45",3,"4,35",2,"2,90",1,"1,45",19,"27,54",24,"34,78",0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.0,0,23,"31,51",50,"68,49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Olivetta San Michele,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370350,12,"18,18",1,"1,52",1,"1,52",1,"1,52",7,"10,61",0,0,16,"24,24",2,"3,03",0,0,12,"18,18",13,"19,70",0,0,0,0,0,0,1,"1,52",0,0,0,0,,,0,0,0.0,0,22,"32,84",43,"64,18",0,0,1,"1,49",1,"1,49",0,0,0,0,0,0,0,0,,0
Ospedaletti,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370360,185,"19,01",70,"7,19",26,"2,67",44,"4,52",8,"0,82",5,"0,51",276,"28,37",37,"3,80",31,"3,19",110,"11,31",142,"14,59",7,"0,72",2,"0,21",5,"0,51",9,"0,92",6,"0,62",4,"0,41",,,5,"0,51",1.0,"0,10",353,"34,01",653,"62,91",6,"0,58",9,"0,87",6,"0,58",4,"0,39",0,0,5,"0,48",2,"0,19",,0
Perinaldo,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370370,43,"23,76",9,"4,97",7,"3,87",9,"4,97",0,0,0,0,40,"22,10",4,"2,21",0,0,31,"17,13",28,"15,47",2,"1,10",0,0,1,"0,55",1,"0,55",5,"2,76",0,0,,,1,"0,55",0.0,0,69,"35,57",116,"59,79",1,"0,52",1,"0,52",6,"3,09",0,0,0,0,1,"0,52",0,0,,0
Pietrabruna,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370380,29,"20,86",8,"5,76",8,"5,76",1,"0,72",0,0,1,"0,72",21,"15,11",1,"0,72",7,"5,04",41,"29,50",14,"10,07",3,"2,16",1,"0,72",1,"0,72",3,"2,16",0,0,0,0,,,0,0,0.0,0,50,"33,11",96,"63,58",1,"0,66",3,"1,99",0,0,0,0,0,0,1,"0,66",0,0,,0
Pieve Di Teco,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370390,77,"20,00",22,"5,71",10,"2,60",10,"2,60",8,"2,08",1,"0,26",62,"16,10",11,"2,86",14,"3,64",98,"25,45",47,"12,21",4,"1,04",1,"0,26",1,"0,26",6,"1,56",10,"2,60",1,"0,26",,,0,0,2.0,"0,52",137,"33,50",250,"61,12",1,"0,24",6,"1,47",11,"2,69",2,"0,49",0,0,0,0,2,"0,49",,0
Pigna,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370400,55,"21,65",15,"5,91",20,"7,87",3,"1,18",0,0,1,"0,39",61,"24,02",4,"1,57",2,"0,79",38,"14,96",24,"9,45",0,0,0,0,0,0,0,0,2,"0,79",28,"11,02",,,1,"0,39",0.0,0,98,"37,40",133,"50,76",0,0,0,0,3,"1,15",27,"10,31",0,0,1,"0,38",0,0,,0
Pompeiana,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370410,69,"26,44",6,"2,30",5,"1,92",9,"3,45",0,0,0,0,29,"11,11",15,"5,75",6,"2,30",48,"18,39",66,"25,29",2,"0,77",0,0,1,"0,38",3,"1,15",1,"0,38",0,0,,,1,"0,38",0.0,0,89,"32,84",174,"64,21",2,"0,74",3,"1,11",2,"0,74",0,0,0,0,1,"0,37",0,0,,0
Pontedassio,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370420,173,"20,21",13,"1,52",20,"2,34",30,"3,50",3,"0,35",1,"0,12",86,"10,05",26,"3,04",23,"2,69",345,"40,30",106,"12,38",5,"0,58",1,"0,12",1,"0,12",9,"1,05",4,"0,47",5,"0,58",,,3,"0,35",2.0,"0,23",252,"28,73",597,"68,07",1,"0,11",10,"1,14",2,"0,23",6,"0,68",3,"0,34",4,"0,46",2,"0,23",,0
Pornassio,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370430,22,"14,29",10,"6,49",5,"3,25",3,"1,95",2,"1,30",1,"0,65",18,"11,69",5,"3,25",6,"3,90",33,"21,43",39,"25,32",5,"3,25",0,0,0,0,1,"0,65",3,"1,95",0,0,,,0,0,1.0,"0,65",45,"27,11",115,"69,28",0,0,2,"1,20",3,"1,81",0,0,0,0,0,0,1,"0,60",,0
Prela',Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370440,38,"26,03",4,"2,74",10,"6,85",4,"2,74",5,"3,42",0,0,10,"6,85",2,"1,37",5,"3,42",45,"30,82",15,"10,27",0,0,0,0,1,"0,68",0,0,5,"3,42",0,0,,,2,"1,37",0.0,0,65,"42,48",79,"51,63",1,"0,65",1,"0,65",5,"3,27",0,0,0,0,2,"1,31",0,0,,0
Ranzo,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370450,32,"20,00",5,"3,13",3,"1,88",8,"5,00",3,"1,88",0,0,33,"20,63",7,"4,38",2,"1,25",31,"19,38",22,"13,75",3,"1,88",1,"0,63",0,0,4,"2,50",2,"1,25",1,"0,63",,,2,"1,25",1.0,"0,63",56,"32,94",105,"61,76",0,0,4,"2,35",1,"0,59",1,"0,59",0,0,2,"1,18",1,"0,59",,0
Rezzo,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370460,24,"19,05",1,"0,79",4,"3,17",7,"5,56",0,0,4,"3,17",18,"14,29",1,"0,79",7,"5,56",29,"23,02",27,"21,43",0,0,0,0,1,"0,79",0,0,0,0,2,"1,59",,,1,"0,79",0.0,0,42,"31,58",86,"64,66",1,"0,75",1,"0,75",0,0,2,"1,50",0,0,1,"0,75",0,0,,0
Riva Ligure,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370461,139,"17,18",37,"4,57",23,"2,84",23,"2,84",9,"1,11",11,"1,36",188,"23,24",39,"4,82",37,"4,57",94,"11,62",163,"20,15",8,"0,99",6,"0,74",2,"0,25",8,"0,99",10,"1,24",7,"0,87",,,3,"0,37",2.0,"0,25",265,"30,49",572,"65,82",2,"0,23",8,"0,92",10,"1,15",7,"0,81",0,0,3,"0,35",2,"0,23",,0
Rocchetta Nervina,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370480,14,"15,56",3,"3,33",4,"4,44",9,"10,00",1,"1,11",1,"1,11",30,"33,33",3,"3,33",0,0,4,"4,44",11,"12,22",3,"3,33",0,0,0,0,0,0,2,"2,22",2,"2,22",,,2,"2,22",1.0,"1,11",33,"32,67",57,"56,44",1,"0,99",1,"0,99",3,"2,97",2,"1,98",0,0,3,"2,97",1,"0,99",,0
San Bartolomeo Al Mare,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370490,233,"23,85",31,"3,17",26,"2,66",22,"2,25",9,"0,92",28,"2,87",230,"23,54",66,"6,76",50,"5,12",121,"12,38",109,"11,16",11,"1,13",0,0,2,"0,20",12,"1,23",10,"1,02",6,"0,61",,,8,"0,82",3.0,"0,31",365,"35,10",627,"60,29",4,"0,38",13,"1,25",12,"1,15",5,"0,48",2,"0,19",8,"0,77",4,"0,38",,0
San Biagio Della Cima,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370500,67,"16,79",16,"4,01",16,"4,01",13,"3,26",1,"0,25",1,"0,25",112,"28,07",17,"4,26",2,"0,50",103,"25,81",32,"8,02",4,"1,00",3,"0,75",2,"0,50",1,"0,25",6,"1,50",2,"0,50",,,1,"0,25",0.0,0,118,"29,21",274,"67,82",1,"0,25",1,"0,25",6,"1,49",3,"0,74",0,0,1,"0,25",0,0,,0
San Lorenzo Al Mare,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370510,139,"29,08",9,"1,88",25,"5,23",14,"2,93",4,"0,84",2,"0,42",89,"18,62",17,"3,56",25,"5,23",45,"9,41",87,"18,20",5,"1,05",2,"0,42",1,"0,21",7,"1,46",6,"1,26",1,"0,21",,,0,0,0.0,0,200,"40,24",283,"56,94",1,"0,20",7,"1,41",5,"1,01",1,"0,20",0,0,0,0,0,0,,0
Sanremo,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370520,2471,"18,50",900,"6,74",500,"3,74",529,"3,96",170,"1,27",75,"0,56",4056,"30,37",412,"3,08",398,"2,98",1607,"12,03",1559,"11,67",123,"0,92",19,"0,14",98,"0,73",143,"1,07",129,"0,97",57,"0,43",,,62,"0,46",47.0,"0,35",5042,"35,04",8723,"60,61",112,"0,78",166,"1,15",152,"1,06",65,"0,45",18,"0,13",64,"0,44",49,"0,34",,0
Santo Stefano Al Mare,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370521,157,"22,59",21,"3,02",19,"2,73",26,"3,74",9,"1,29",1,"0,14",150,"21,58",24,"3,45",30,"4,32",48,"6,91",157,"22,59",9,"1,29",3,"0,43",2,"0,29",11,"1,58",13,"1,87",10,"1,44",,,3,"0,43",2.0,"0,29",238,"33,15",434,"60,45",4,"0,56",12,"1,67",11,"1,53",10,"1,39",2,"0,28",3,"0,42",4,"0,56",,0
Seborga,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370530,17,"18,28",0,0,2,"2,15",7,"7,53",0,0,0,0,22,"23,66",11,"11,83",1,"1,08",20,"21,51",9,"9,68",1,"1,08",0,0,1,"1,08",1,"1,08",1,"1,08",0,0,,,0,0,0.0,0,27,"26,73",71,"70,30",1,"0,99",1,"0,99",1,"0,99",0,0,0,0,0,0,0,0,,0
Soldano,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370540,83,"29,43",5,"1,77",9,"3,19",5,"1,77",2,"0,71",4,"1,42",60,"21,28",11,"3,90",7,"2,48",53,"18,79",23,"8,16",3,"1,06",1,"0,35",2,"0,71",7,"2,48",2,"0,71",4,"1,42",,,0,0,1.0,"0,35",109,"36,58",171,"57,38",2,"0,67",7,"2,35",2,"0,67",4,"1,34",2,"0,67",0,0,1,"0,34",,0
Taggia,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370550,860,"20,04",116,"2,70",179,"4,17",171,"3,99",32,"0,75",25,"0,58",629,"14,66",111,"2,59",80,"1,86",451,"10,51",1450,"33,79",30,"0,70",3,"0,07",28,"0,65",36,"0,84",37,"0,86",34,"0,79",,,10,"0,23",9.0,"0,21",1494,"33,28",2821,"62,84",31,"0,69",39,"0,87",41,"0,91",36,"0,80",5,"0,11",11,"0,25",11,"0,25",,0
Terzorio,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370560,16,"17,78",3,"3,33",8,"8,89",1,"1,11",1,"1,11",0,0,10,"11,11",1,"1,11",6,"6,67",7,"7,78",31,"34,44",0,0,0,0,0,0,0,0,1,"1,11",3,"3,33",,,1,"1,11",1.0,"1,11",29,"29,00",65,"65,00",0,0,0,0,1,"1,00",3,"3,00",0,0,1,"1,00",1,"1,00",,0
Triora,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370570,24,"19,83",3,"2,48",7,"5,79",2,"1,65",1,"0,83",1,"0,83",20,"16,53",4,"3,31",4,"3,31",21,"17,36",30,"24,79",2,"1,65",0,0,0,0,1,"0,83",0,0,1,"0,83",,,0,0,0.0,0,40,"31,75",83,"65,87",0,0,0,0,1,"0,79",1,"0,79",1,"0,79",0,0,0,0,,0
Vallebona,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370580,73,"20,51",9,"2,53",12,"3,37",11,"3,09",1,"0,28",0,0,56,"15,73",31,"8,71",4,"1,12",97,"27,25",39,"10,96",7,"1,97",1,"0,28",2,"0,56",5,"1,40",3,"0,84",0,0,,,3,"0,84",2.0,"0,56",114,"30,65",243,"65,32",2,"0,54",5,"1,34",3,"0,81",0,0,0,0,3,"0,81",2,"0,54",,0
Vallecrosia,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370590,541,"23,04",42,"1,79",54,"2,30",74,"3,15",4,"0,17",8,"0,34",573,"24,40",92,"3,92",25,"1,06",726,"30,92",150,"6,39",10,"0,43",2,"0,09",2,"0,09",16,"0,68",14,"0,60",8,"0,34",,,5,"0,21",2.0,"0,09",746,"31,01",1606,"66,75",3,"0,12",17,"0,71",15,"0,62",9,"0,37",1,"0,04",6,"0,25",3,"0,12",,0
Vasia,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370600,32,"24,43",0,0,10,"7,63",3,"2,29",3,"2,29",3,"2,29",17,"12,98",4,"3,05",2,"1,53",28,"21,37",22,"16,79",1,"0,76",0,0,0,0,3,"2,29",1,"0,76",1,"0,76",,,0,0,1.0,"0,76",50,"37,04",79,"58,52",0,0,3,"2,22",1,"0,74",1,"0,74",0,0,0,0,1,"0,74",,0
Ventimiglia,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370610,1620,"24,49",106,"1,60",198,"2,99",273,"4,13",11,"0,17",21,"0,32",1120,"16,93",306,"4,63",109,"1,65",1115,"16,85",1502,"22,70",48,"0,73",8,"0,12",17,"0,26",49,"0,74",28,"0,42",23,"0,35",,,44,"0,67",18.0,"0,27",2260,"32,85",4418,"64,22",21,"0,31",54,"0,78",29,"0,42",26,"0,38",7,"0,10",42,"0,61",23,"0,33",,0
Vessalico,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370620,10,"12,05",2,"2,41",1,"1,20",1,"1,20",1,"1,20",0,0,8,"9,64",3,"3,61",0,0,31,"37,35",23,"27,71",1,"1,20",0,0,1,"1,20",1,"1,20",0,0,0,0,,,0,0,0.0,0,18,"20,69",67,"77,01",1,"1,15",1,"1,15",0,0,0,0,0,0,0,0,0,0,,0
Villa Faraldi,Imperia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070370630,23,"20,18",1,"0,88",4,"3,51",1,"0,88",1,"0,88",2,"1,75",10,"8,77",15,"13,16",10,"8,77",11,"9,65",25,"21,93",2,"1,75",0,0,0,0,2,"1,75",2,"1,75",3,"2,63",,,1,"0,88",1.0,"0,88",33,"28,21",75,"64,10",0,0,2,"1,71",2,"1,71",3,"2,56",0,0,1,"0,85",1,"0,85",,0
Ameglia,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390010,413,"24,64",106,"6,32",114,"6,80",64,"3,82",28,"1,67",33,"1,97",257,"15,33",51,"3,04",347,"20,70",84,"5,01",106,"6,32",24,"1,43",3,"0,18",10,"0,60",16,"0,95",10,"0,60",3,"0,18",,,6,"0,36",1.0,"0,06",780,"45,11",900,"52,05",12,"0,69",16,"0,93",10,"0,58",3,"0,17",1,"0,06",6,"0,35",1,"0,06",,0
Arcola,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390020,1248,"34,67",119,"3,31",186,"5,17",209,"5,81",59,"1,64",61,"1,69",570,"15,83",98,"2,72",306,"8,50",273,"7,58",230,"6,39",52,"1,44",35,"0,97",34,"0,94",44,"1,22",49,"1,36",11,"0,31",,,11,"0,31",5.0,"0,14",1980,"52,51",1633,"43,30",33,"0,88",45,"1,19",50,"1,33",11,"0,29",4,"0,11",11,"0,29",4,"0,11",,0
Beverino,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390030,190,"18,43",25,"2,42",100,"9,70",32,"3,10",8,"0,78",37,"3,59",148,"14,35",32,"3,10",307,"29,78",40,"3,88",64,"6,21",11,"1,07",5,"0,48",11,"1,07",9,"0,87",9,"0,87",1,"0,10",,,2,"0,19",0.0,0,416,"39,39",610,"57,77",11,"1,04",9,"0,85",7,"0,66",1,"0,09",0,0,2,"0,19",0,0,,0
Bolano,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390040,893,"30,94",106,"3,67",142,"4,92",105,"3,64",48,"1,66",55,"1,91",485,"16,81",96,"3,33",336,"11,64",184,"6,38",292,"10,12",45,"1,56",39,"1,35",14,"0,49",16,"0,55",13,"0,45",3,"0,10",,,11,"0,38",3.0,"0,10",1405,"46,80",1530,"50,97",16,"0,53",18,"0,60",14,"0,47",3,"0,10",2,"0,07",11,"0,37",3,"0,10",,0
