comune,provincia,regione,url,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE_perc,LISTA ANDREA ORLANDO PRESIDENTE,LISTA ANDREA ORLANDO PRESIDENTE_perc,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA_perc,MOVIMENTO 5 STELLE 2050,MOVIMENTO 5 STELLE 2050_perc,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA_perc,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,LIGURI A TESTA ALTA ORLANDO PRESIDENTE_perc,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA_perc,ORGOGLIO LIGURIA BUCCI PRESIDENTE,ORGOGLIO LIGURIA BUCCI PRESIDENTE_perc,BUCCI PRESIDENTE VINCE LIGURIA,BUCCI PRESIDENTE VINCE LIGURIA_perc,LEGA LIGURIA BUCCI PRESIDENTE,LEGA LIGURIA BUCCI PRESIDENTE_perc,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE_perc,BUCCI LIBERTAS UDC,BUCCI LIBERTAS UDC_perc,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE_perc,UNITI PER LA COSTITUZIONE,UNITI PER LA COSTITUZIONE_perc,DEMOCRAZIA SOVRANA POPOLARE,DEMOCRAZIA SOVRANA POPOLARE_perc,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA_perc,FORZA DEL POPOLO,FORZA DEL POPOLO_perc,PARTITO COMUNISTA DEI LAVORATORI,PARTITO COMUNISTA DEI LAVORATORI_perc,INDIPENDENZA! ALEMANNO PER ROSSON,INDIPENDENZA! ALEMANNO PER ROSSON_perc,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA'_perc,ANDREA ORLANDO_total_votes,ANDREA ORLANDO_total_perc,MARCO BUCCI_total_votes,MARCO BUCCI_total_perc,NICOLA MORRA_total_votes,NICOLA MORRA_total_perc,FRANCESCO TOSCANO_total_votes,FRANCESCO TOSCANO_total_perc,NICOLA ROLLANDO_total_votes,NICOLA ROLLANDO_total_perc,DAVIDE FELICE_total_votes,DAVIDE FELICE_total_perc,MARCO GIUSEPPE FERRANDO_total_votes,MARCO GIUSEPPE FERRANDO_total_perc,ALESSANDRO ROSSON_total_votes,ALESSANDRO ROSSON_total_perc,MARIA ANTONIETTA CELLA_total_votes,MARIA ANTONIETTA CELLA_total_perc,,None_perc
Bonassola,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390050,124,"35,33",5,"1,42",19,"5,41",21,"5,98",2,"0,57",12,"3,42",31,"8,83",4,"1,14",40,"11,40",20,"5,70",13,"3,70",1,"0,28",1,"0,28",3,"0,85",0,0,8,"2,28",1,"0,28",,,45,"12,82",1.0,"0,28",185,"50,00",122,"32,97",3,"0,81",0,0,5,"1,35",1,"0,27",3,"0,81",50,"13,51",1,"0,27",,0
Borghetto Di Vara,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390060,54,"13,81",9,"2,30",12,"3,07",11,"2,81",2,"0,51",37,"9,46",113,"28,90",19,"4,86",65,"16,62",32,"8,18",16,"4,09",7,"1,79",4,"1,02",4,"1,02",3,"0,77",2,"0,51",0,0,,,0,0,1.0,"0,26",134,"33,09",260,"64,20",5,"1,23",3,"0,74",3,"0,74",0,0,0,0,0,0,0,0,,0
Brugnato,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390070,95,"15,68",26,"4,29",18,"2,97",22,"3,63",4,"0,66",64,"10,56",143,"23,60",21,"3,47",103,"17,00",47,"7,76",33,"5,45",4,"0,66",8,"1,32",2,"0,33",4,"0,66",4,"0,66",2,"0,33",,,4,"0,66",2.0,"0,33",236,"35,98",400,"60,98",3,"0,46",3,"0,46",5,"0,76",2,"0,30",1,"0,15",4,"0,61",2,"0,30",,0
Calice Al Cornoviglio,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390080,86,"21,50",10,"2,50",17,"4,25",15,"3,75",2,"0,50",7,"1,75",50,"12,50",23,"5,75",73,"18,25",35,"8,75",38,"9,50",8,"2,00",7,"1,75",5,"1,25",3,"0,75",10,"2,50",10,"2,50",,,1,"0,25",0.0,0,149,"36,34",241,"58,78",5,"1,22",3,"0,73",10,"2,44",0,0,1,"0,24",1,"0,24",0,0,,0
Carro,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390090,27,"12,00",3,"1,33",10,"4,44",10,"4,44",3,"1,33",28,"12,44",20,"8,89",6,"2,67",64,"28,44",12,"5,33",7,"3,11",6,"2,67",19,"8,44",1,"0,44",3,"1,33",4,"1,78",0,0,,,1,"0,44",1.0,"0,44",83,"36,09",135,"58,70",1,"0,43",3,"1,30",6,"2,61",0,0,0,0,1,"0,43",1,"0,43",,0
Carrodano,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390100,53,"25,24",6,"2,86",10,"4,76",5,"2,38",1,"0,48",27,"12,86",24,"11,43",9,"4,29",38,"18,10",13,"6,19",13,"6,19",3,"1,43",1,"0,48",0,0,0,0,6,"2,86",0,0,,,1,"0,48",0.0,0,111,"49,12",104,"46,02",0,0,1,"0,44",7,"3,10",0,0,1,"0,44",2,"0,88",0,0,,0
Castelnuovo Magra,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390110,1172,"39,34",79,"2,65",110,"3,69",124,"4,16",41,"1,38",22,"0,74",416,"13,96",96,"3,22",372,"12,49",239,"8,02",148,"4,97",31,"1,04",10,"0,34",24,"0,81",34,"1,14",36,"1,21",11,"0,37",,,9,"0,30",5.0,"0,17",1622,"52,00",1365,"43,76",25,"0,80",38,"1,22",30,"0,96",12,"0,38",7,"0,22",13,"0,42",7,"0,22",,0
Deiva Marina,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390120,133,"22,62",7,"1,19",23,"3,91",16,"2,72",1,"0,17",10,"1,70",49,"8,33",36,"6,12",165,"28,06",40,"6,80",46,"7,82",8,"1,36",2,"0,34",2,"0,34",1,"0,17",43,"7,31",1,"0,17",,,5,"0,85",0.0,0,215,"34,57",369,"59,32",1,"0,16",1,"0,16",26,"4,18",1,"0,16",2,"0,32",7,"1,13",0,0,,0
Follo,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390130,564,"23,92",74,"3,14",107,"4,54",89,"3,77",27,"1,15",45,"1,91",244,"10,35",44,"1,87",89,"3,77",111,"4,71",859,"36,43",17,"0,72",7,"0,30",30,"1,27",13,"0,55",26,"1,10",4,"0,17",,,5,"0,21",3.0,"0,13",970,"39,88",1379,"56,70",29,"1,19",13,"0,53",26,"1,07",4,"0,16",3,"0,12",5,"0,21",3,"0,12",,0
Framura,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390140,63,"21,95",6,"2,09",10,"3,48",10,"3,48",1,"0,35",6,"2,09",26,"9,06",14,"4,88",99,"34,49",24,"8,36",9,"3,14",3,"1,05",0,0,0,0,1,"0,35",9,"3,14",0,0,,,6,"2,09",0.0,0,107,"35,67",182,"60,67",0,0,1,"0,33",4,"1,33",0,0,0,0,6,"2,00",0,0,,0
La Spezia,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390150,9881,"30,08",1329,"4,05",2948,"8,97",1360,"4,14",621,"1,89",585,"1,78",5863,"17,85",1511,"4,60",2073,"6,31",2319,"7,06",2547,"7,75",493,"1,50",314,"0,96",343,"1,04",177,"0,54",273,"0,83",86,"0,26",,,64,"0,19",67.0,"0,20",17610,"51,11",15770,"45,77",340,"0,99",192,"0,56",274,"0,80",94,"0,27",29,"0,08",71,"0,21",73,"0,21",,0
Lerici,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390160,1143,"27,03",167,"3,95",286,"6,76",139,"3,29",51,"1,21",269,"6,36",1273,"30,10",91,"2,15",189,"4,47",226,"5,34",224,"5,30",35,"0,83",12,"0,28",32,"0,76",34,"0,80",39,"0,92",10,"0,24",,,5,"0,12",4.0,"0,09",2176,"49,34",2104,"47,71",34,"0,77",39,"0,88",35,"0,79",11,"0,25",3,"0,07",5,"0,11",3,"0,07",,0
Levanto,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390170,562,"25,36",59,"2,66",97,"4,38",71,"3,20",16,"0,72",248,"11,19",297,"13,40",85,"3,84",371,"16,74",148,"6,68",117,"5,28",49,"2,21",13,"0,59",12,"0,54",15,"0,68",25,"1,13",0,0,,,24,"1,08",7.0,"0,32",1104,"47,12",1146,"48,91",12,"0,51",17,"0,73",24,"1,02",1,"0,04",3,"0,13",28,"1,20",8,"0,34",,0
Maissana,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390180,56,"26,17",4,"1,87",3,"1,40",4,"1,87",1,"0,47",25,"11,68",44,"20,56",7,"3,27",24,"11,21",9,"4,21",21,"9,81",1,"0,47",1,"0,47",9,"4,21",2,"0,93",2,"0,93",1,"0,47",,,0,0,0.0,0,96,"44,04",101,"46,33",9,"4,13",9,"4,13",2,"0,92",1,"0,46",0,0,0,0,0,0,,0
Monterosso Al Mare,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390190,66,"12,20",16,"2,96",18,"3,33",10,"1,85",3,"0,55",181,"33,46",79,"14,60",11,"2,03",75,"13,86",35,"6,47",24,"4,44",7,"1,29",3,"0,55",2,"0,37",0,0,4,"0,74",0,0,,,7,"1,29",0.0,0,301,"53,09",251,"44,27",2,"0,35",0,0,6,"1,06",0,0,0,0,7,"1,23",0,0,,0
Luni,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390200,1445,"52,53",44,"1,60",66,"2,40",104,"3,78",26,"0,95",33,"1,20",411,"14,94",56,"2,04",166,"6,03",164,"5,96",143,"5,20",24,"0,87",6,"0,22",4,"0,15",23,"0,84",25,"0,91",1,"0,04",,,9,"0,33",1.0,"0,04",1749,"61,48",1018,"35,78",6,"0,21",25,"0,88",26,"0,91",2,"0,07",2,"0,07",11,"0,39",6,"0,21",,0
Pignone,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390210,51,"18,68",5,"1,83",35,"12,82",8,"2,93",1,"0,37",18,"6,59",24,"8,79",10,"3,66",85,"31,14",14,"5,13",12,"4,40",4,"1,47",3,"1,10",0,0,0,0,0,0,2,"0,73",,,1,"0,37",0.0,0,116,"41,13",160,"56,74",0,0,3,"1,06",0,0,2,"0,71",0,0,1,"0,35",0,0,,0
Portovenere,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390220,400,"28,11",53,"3,72",100,"7,03",41,"2,88",25,"1,76",35,"2,46",313,"22,00",48,"3,37",105,"7,38",90,"6,32",117,"8,22",24,"1,69",6,"0,42",29,"2,04",13,"0,91",18,"1,26",4,"0,28",,,0,0,2.0,"0,14",682,"46,36",724,"49,22",30,"2,04",13,"0,88",16,"1,09",4,"0,27",0,0,0,0,2,"0,14",,0
Ricco' Del Golfo Di Spezia,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390230,350,"25,14",55,"3,95",124,"8,91",77,"5,53",28,"2,01",58,"4,17",214,"15,37",52,"3,74",203,"14,58",81,"5,82",89,"6,39",12,"0,86",10,"0,72",21,"1,51",3,"0,22",7,"0,50",1,"0,07",,,5,"0,36",2.0,"0,14",719,"49,76",682,"47,20",23,"1,59",4,"0,28",8,"0,55",1,"0,07",2,"0,14",4,"0,28",2,"0,14",,0
Riomaggiore,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390240,260,"37,79",21,"3,05",74,"10,76",19,"2,76",14,"2,03",77,"11,19",52,"7,56",25,"3,63",47,"6,83",30,"4,36",21,"3,05",9,"1,31",0,0,5,"0,73",12,"1,74",11,"1,60",9,"1,31",,,1,"0,15",1.0,"0,15",469,"66,52",196,"27,80",4,"0,57",13,"1,84",12,"1,70",8,"1,13",1,"0,14",1,"0,14",1,"0,14",,0
Rocchetta Di Vara,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390250,44,"16,36",9,"3,35",5,"1,86",1,"0,37",2,"0,74",39,"14,50",49,"18,22",8,"2,97",61,"22,68",24,"8,92",14,"5,20",6,"2,23",0,0,0,0,1,"0,37",1,"0,37",2,"0,74",,,2,"0,74",1.0,"0,37",116,"38,03",182,"59,67",0,0,1,"0,33",1,"0,33",2,"0,66",0,0,2,"0,66",1,"0,33",,0
Santo Stefano Di Magra,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390260,1388,"37,34",109,"2,93",133,"3,58",184,"4,95",62,"1,67",34,"0,91",578,"15,55",88,"2,37",187,"5,03",455,"12,24",269,"7,24",73,"1,96",22,"0,59",18,"0,48",23,"0,62",68,"1,83",12,"0,32",,,6,"0,16",8.0,"0,22",1974,"51,21",1718,"44,57",25,"0,65",30,"0,78",65,"1,69",18,"0,47",6,"0,16",7,"0,18",12,"0,31",,0
Sarzana,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390270,2956,"34,27",196,"2,27",467,"5,41",445,"5,16",371,"4,30",177,"2,05",1468,"17,02",185,"2,14",955,"11,07",498,"5,77",418,"4,85",85,"0,99",37,"0,43",38,"0,44",80,"0,93",168,"1,95",38,"0,44",,,29,"0,34",15.0,"0,17",4774,"53,20",3809,"42,45",47,"0,52",82,"0,91",162,"1,81",43,"0,48",12,"0,13",29,"0,32",15,"0,17",,0
Sesta Godano,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390280,83,"13,09",28,"4,42",9,"1,42",16,"2,52",4,"0,63",236,"37,22",86,"13,56",22,"3,47",63,"9,94",29,"4,57",27,"4,26",7,"1,10",0,0,12,"1,89",4,"0,63",2,"0,32",2,"0,32",,,3,"0,47",1.0,"0,16",385,"57,38",259,"38,60",13,"1,94",4,"0,60",2,"0,30",2,"0,30",2,"0,30",3,"0,45",1,"0,15",,0
Varese Ligure,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390290,248,"30,24",15,"1,83",16,"1,95",13,"1,59",2,"0,24",84,"10,24",112,"13,66",37,"4,51",142,"17,32",52,"6,34",45,"5,49",15,"1,83",6,"0,73",10,"1,22",7,"0,85",7,"0,85",0,0,,,1,"0,12",8.0,"0,98",376,"43,67",443,"51,45",13,"1,51",8,"0,93",10,"1,16",0,0,3,"0,35",1,"0,12",7,"0,81",,0
Vernazza,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390300,62,"16,62",23,"6,17",7,"1,88",5,"1,34",7,"1,88",135,"36,19",24,"6,43",11,"2,95",37,"9,92",32,"8,58",10,"2,68",6,"1,61",1,"0,27",2,"0,54",1,"0,27",2,"0,54",3,"0,80",,,5,"1,34",0.0,0,242,"63,85",125,"32,98",2,"0,53",1,"0,26",2,"0,53",3,"0,79",0,0,4,"1,06",0,0,,0
Vezzano Ligure,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390310,1007,"35,67",99,"3,51",184,"6,52",114,"4,04",43,"1,52",46,"1,63",451,"15,98",68,"2,41",148,"5,24",333,"11,80",181,"6,41",34,"1,20",23,"0,81",27,"0,96",5,"0,18",30,"1,06",15,"0,53",,,7,"0,25",8.0,"0,28",1561,"52,72",1296,"43,77",32,"1,08",7,"0,24",33,"1,11",15,"0,51",2,"0,07",8,"0,27",7,"0,24",,0
Zignago,La Spezia,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070390320,41,"18,89",5,"2,30",1,"0,46",2,"0,92",2,"0,92",17,"7,83",73,"33,64",8,"3,69",21,"9,68",19,"8,76",16,"7,37",1,"0,46",2,"0,92",1,"0,46",5,"2,30",2,"0,92",1,"0,46",,,0,0,0.0,0,75,"32,75",146,"63,76",1,"0,44",5,"2,18",1,"0,44",1,"0,44",0,0,0,0,0,0,,0
Alassio,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740010,459,"12,67",90,"2,48",884,"24,39",44,"1,21",22,"0,61",10,"0,28",1154,"31,84",74,"2,04",254,"7,01",215,"5,93",317,"8,75",26,"0,72",1,"0,03",6,"0,17",22,"0,61",4,"0,11",4,"0,11",4.0,"0,11",34,"0,94",,,1554,"40,82",2141,"56,24",11,"0,29",27,"0,71",6,"0,16",8,"0,21",8,"0,21",38,"1,00",14,"0,37",,0
Albenga,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740020,2844,"34,05",488,"5,84",334,"4,00",151,"1,81",30,"0,36",38,"0,45",1054,"12,62",165,"1,98",808,"9,67",838,"10,03",1326,"15,88",28,"0,34",24,"0,29",36,"0,43",69,"0,83",21,"0,25",27,"0,32",18.0,"0,22",53,"0,63",,,3891,"44,70",4544,"52,21",44,"0,51",83,"0,95",29,"0,33",31,"0,36",20,"0,23",57,"0,65",5,"0,06",,0
Albissola Marina,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740030,766,"33,63",74,"3,25",138,"6,06",122,"5,36",49,"2,15",20,"0,88",309,"13,56",49,"2,15",292,"12,82",164,"7,20",203,"8,91",11,"0,48",2,"0,09",15,"0,66",20,"0,88",21,"0,92",6,"0,26",12.0,"0,53",5,"0,22",,,1245,"50,69",1123,"45,72",16,"0,65",19,"0,77",21,"0,86",8,"0,33",13,"0,53",5,"0,20",6,"0,24",,0
Albisola Superiore,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740040,1216,"31,67",109,"2,84",220,"5,73",230,"5,99",73,"1,90",42,"1,09",430,"11,20",122,"3,18",522,"13,59",470,"12,24",222,"5,78",21,"0,55",7,"0,18",26,"0,68",52,"1,35",34,"0,89",19,"0,49",17.0,"0,44",8,"0,21",,,2053,"49,43",1922,"46,28",26,"0,63",52,"1,25",38,"0,92",19,"0,46",23,"0,55",10,"0,24",10,"0,24",,0
Altare,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740050,168,"31,17",15,"2,78",26,"4,82",20,"3,71",7,"1,30",9,"1,67",79,"14,66",17,"3,15",65,"12,06",59,"10,95",48,"8,91",4,"0,74",0,0,2,"0,37",10,"1,86",5,"0,93",1,"0,19",3.0,"0,56",1,"0,19",,,256,"44,76",288,"50,35",2,"0,35",12,"2,10",6,"1,05",1,"0,17",3,"0,52",1,"0,17",3,"0,52",,0
Andora,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740060,399,"15,70",68,"2,68",165,"6,49",138,"5,43",17,"0,67",11,"0,43",462,"18,18",342,"13,46",216,"8,50",203,"7,99",382,"15,03",20,"0,79",8,"0,31",3,"0,12",14,"0,55",10,"0,39",18,"0,71",2.0,"0,08",63,"2,48",,,839,"31,41",1709,"63,98",12,"0,45",16,"0,60",11,"0,41",19,"0,71",2,"0,07",60,"2,25",3,"0,11",,0
Arnasco,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740070,49,"23,22",21,"9,95",6,"2,84",10,"4,74",0,0,2,"0,95",34,"16,11",4,"1,90",29,"13,74",34,"16,11",15,"7,11",1,"0,47",0,0,1,"0,47",2,"0,95",1,"0,47",0,0,0.0,0,2,"0,95",,,91,"41,74",120,"55,05",1,"0,46",2,"0,92",1,"0,46",0,0,0,0,2,"0,92",1,"0,46",,0
Balestrino,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740080,37,"17,13",7,"3,24",12,"5,56",4,"1,85",0,0,0,0,20,"9,26",8,"3,70",17,"7,87",86,"39,81",17,"7,87",1,"0,46",0,0,2,"0,93",0,0,0,0,1,"0,46",1.0,"0,46",3,"1,39",,,66,"29,60",149,"66,82",2,"0,90",0,0,0,0,1,"0,45",2,"0,90",3,"1,35",0,0,,0
Bardineto,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740090,45,"17,37",6,"2,32",10,"3,86",6,"2,32",1,"0,39",4,"1,54",40,"15,44",7,"2,70",32,"12,36",53,"20,46",38,"14,67",3,"1,16",1,"0,39",0,0,8,"3,09",1,"0,39",0,0,2.0,"0,77",2,"0,77",,,76,"27,94",181,"66,54",1,"0,37",9,"3,31",1,"0,37",0,0,2,"0,74",2,"0,74",0,0,,0
Bergeggi,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740100,213,"43,92",12,"2,47",26,"5,36",16,"3,30",5,"1,03",1,"0,21",73,"15,05",9,"1,86",61,"12,58",20,"4,12",32,"6,60",0,0,0,0,3,"0,62",6,"1,24",3,"0,62",1,"0,21",2.0,"0,41",2,"0,41",,,282,"55,40",206,"40,47",3,"0,59",6,"1,18",3,"0,59",2,"0,39",2,"0,39",3,"0,59",2,"0,39",,0
Boissano,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740110,167,"17,77",44,"4,68",67,"7,13",33,"3,51",6,"0,64",7,"0,74",207,"22,02",24,"2,55",77,"8,19",143,"15,21",132,"14,04",4,"0,43",0,0,5,"0,53",10,"1,06",3,"0,32",2,"0,21",4.0,"0,43",5,"0,53",,,348,"34,87",616,"61,72",5,"0,50",11,"1,10",6,"0,60",3,"0,30",4,"0,40",5,"0,50",0,0,,0
Borghetto Santo Spirito,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740120,220,"15,41",29,"2,03",72,"5,04",60,"4,20",6,"0,42",14,"0,98",222,"15,55",25,"1,75",96,"6,72",457,"32,00",139,"9,73",16,"1,12",1,"0,07",12,"0,84",15,"1,05",5,"0,35",0,0,6.0,"0,42",33,"2,31",,,417,"27,76",1007,"67,04",12,"0,80",17,"1,13",6,"0,40",0,0,8,"0,53",35,"2,33",0,0,,0
Borgio Verezzi,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740130,187,"22,61",38,"4,59",25,"3,02",23,"2,78",41,"4,96",6,"0,73",150,"18,14",19,"2,30",81,"9,79",119,"14,39",93,"11,25",6,"0,73",2,"0,24",3,"0,36",12,"1,45",7,"0,85",2,"0,24",9.0,"1,09",4,"0,48",,,340,"38,99",494,"56,65",2,"0,23",12,"1,38",7,"0,80",3,"0,34",9,"1,03",4,"0,46",1,"0,11",,0
Bormida,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740140,28,"22,95",0,0,4,"3,28",3,"2,46",0,0,6,"4,92",18,"14,75",0,0,11,"9,02",10,"8,20",35,"28,69",0,0,2,"1,64",2,"1,64",1,"0,82",2,"1,64",0,0,0.0,0,0,0,,,42,"32,81",79,"61,72",2,"1,56",2,"1,56",2,"1,56",0,0,0,0,0,0,1,"0,78",,0
Cairo Montenotte,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740150,1179,"33,86",132,"3,79",146,"4,19",130,"3,73",23,"0,66",198,"5,69",523,"15,02",94,"2,70",373,"10,71",297,"8,53",244,"7,01",14,"0,40",7,"0,20",20,"0,57",29,"0,83",20,"0,57",21,"0,60",18.0,"0,52",14,"0,40",,,1889,"51,46",1636,"44,57",24,"0,65",32,"0,87",22,"0,60",27,"0,74",22,"0,60",14,"0,38",5,"0,14",,0
Calice Ligure,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740160,146,"22,88",19,"2,98",111,"17,40",26,"4,08",20,"3,13",10,"1,57",104,"16,30",19,"2,98",53,"8,31",66,"10,34",43,"6,74",0,0,1,"0,16",5,"0,78",2,"0,31",2,"0,31",5,"0,78",4.0,"0,63",2,"0,31",,,350,"49,86",327,"46,58",5,"0,71",1,"0,14",3,"0,43",5,"0,71",6,"0,85",2,"0,28",3,"0,43",,0
Calizzano,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740170,122,"24,80",22,"4,47",19,"3,86",9,"1,83",1,"0,20",7,"1,42",87,"17,68",13,"2,64",54,"10,98",48,"9,76",78,"15,85",5,"1,02",0,0,5,"1,02",6,"1,22",8,"1,63",0,0,5.0,"1,02",3,"0,61",,,190,"36,26",304,"58,02",5,"0,95",6,"1,15",8,"1,53",1,"0,19",6,"1,15",4,"0,76",0,0,,0
Carcare,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740180,740,"38,93",61,"3,21",55,"2,89",51,"2,68",9,"0,47",133,"7,00",233,"12,26",37,"1,95",138,"7,26",97,"5,10",255,"13,41",11,"0,58",3,"0,16",15,"0,79",20,"1,05",20,"1,05",6,"0,32",9.0,"0,47",8,"0,42",,,1095,"55,36",799,"40,39",15,"0,76",20,"1,01",20,"1,01",6,"0,30",9,"0,46",8,"0,40",6,"0,30",,0
Casanova Lerrone,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740190,57,"30,32",8,"4,26",19,"10,11",2,"1,06",0,0,1,"0,53",23,"12,23",5,"2,66",28,"14,89",27,"14,36",11,"5,85",1,"0,53",0,0,0,0,0,0,1,"0,53",0,0,1.0,"0,53",4,"2,13",,,85,"42,08",110,"54,46",1,"0,50",0,0,1,"0,50",0,0,1,"0,50",4,"1,98",0,0,,0
