comune,provincia,regione,url,MICHELE DE PASCALE_total,MICHELE DE PASCALE_perc,ELENA UGOLINI_total,ELENA UGOLINI_perc,FEDERICO SERRA_total,FEDERICO SERRA_perc,LUCA TEODORI_total,LUCA TEODORI_perc,perc_diff
Gossolengo,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610230,975,"46,32",1055,"50,12",53,"2,52",22,"1,05",-7.58
Gragnano Trebbiense,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610240,613,"45,78",687,"51,31",23,"1,72",16,"1,19",-10.77
Gropparello,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610250,257,"32,91",507,"64,92",9,"1,15",8,"1,02",-49.31
Lugagnano Val D'Arda,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610260,497,"35,32",890,"63,26",12,"0,85",8,"0,57",-44.16
Monticelli D'Ongina,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610270,919,"50,00",877,"47,71",28,"1,52",14,"0,76",4.79
Morfasso,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610280,88,"26,75",236,"71,73",3,"0,91",2,"0,61",-62.71
Ottone,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610300,38,"33,33",75,"65,79",1,"0,88",0,0,-49.33
Piacenza,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610320,15116,"46,15",16643,"50,82",747,"2,28",245,"0,75",-9.18
Pianello Val Tidone,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610330,224,"31,59",468,"66,01",13,"1,83",4,"0,56",-52.14
Piozzano,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610340,81,"35,37",133,"58,08",9,"3,93",6,"2,62",-39.1
Podenzano,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610350,1199,"37,72",1943,"61,12",27,"0,85",10,"0,31",-38.29
Ponte Dell'Olio,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610360,645,"38,26",1011,"59,96",18,"1,07",12,"0,71",-36.2
Pontenure,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610370,804,"43,41",979,"52,86",45,"2,43",24,"1,30",-17.88
Rivergaro,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610380,1123,"44,97",1315,"52,66",37,"1,48",22,"0,88",-14.6
Rottofreno,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610390,1478,"41,15",2027,"56,43",59,"1,64",28,"0,78",-27.08
San Giorgio Piacentino,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610400,638,"30,50",1406,"67,21",28,"1,34",20,"0,96",-54.62
San Pietro In Cerro,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610410,77,"28,84",184,"68,91",4,"1,50",2,"0,75",-58.15
Sarmato,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610420,319,"41,86",430,"56,43",9,"1,18",4,"0,52",-25.81
Travo,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610430,598,"60,47",371,"37,51",9,"0,91",11,"1,11",61.19
Vernasca,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610440,340,"45,76",385,"51,82",10,"1,35",8,"1,08",-11.69
Vigolzone,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610450,503,"33,76",959,"64,36",20,"1,34",8,"0,54",-47.55
Villanova Sull'Arda,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610460,258,"45,26",291,"51,05",20,"3,51",1,"0,18",-11.34
Zerba,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610470,12,"36,36",20,"60,61",0,0,1,"3,03",-40.0
Ziano Piacentino,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610480,292,"35,18",509,"61,33",22,"2,65",7,"0,84",-42.63
Alfonsine,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660010,2859,"64,51",1411,"31,84",112,"2,53",50,"1,13",102.62
Bagnacavallo,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660020,3899,"57,42",2649,"39,01",162,"2,39",80,"1,18",47.19
Bagnara Di Romagna,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660030,607,"62,32",348,"35,73",12,"1,23",7,"0,72",74.43
Brisighella,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660040,1524,"51,94",1331,"45,36",58,"1,98",21,"0,72",14.5
Casola Valsenio,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660050,594,"57,23",420,"40,46",18,"1,73",6,"0,58",41.43
Castel Bolognese,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660060,1956,"53,21",1637,"44,53",53,"1,44",30,"0,82",19.49
Cervia,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660070,6361,"57,97",4299,"39,18",194,"1,77",119,"1,08",47.96
Conselice,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660080,1950,"60,63",1115,"34,67",90,"2,80",61,"1,90",74.89
Cotignola,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660090,1759,"59,03",1154,"38,72",44,"1,48",23,"0,77",52.43
Faenza,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660100,14434,"60,60",8719,"36,60",433,"1,82",234,"0,98",65.55
Fusignano,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660110,1840,"62,39",1004,"34,05",79,"2,68",26,"0,88",83.27
Lugo,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660120,6806,"53,83",5470,"43,26",255,"2,02",113,"0,89",24.42
Massa Lombarda,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660130,2044,"63,18",1069,"33,04",82,"2,53",40,"1,24",91.21
Ravenna,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660140,34779,"58,28",22491,"37,69",1681,"2,82",724,"1,21",54.64
Riolo Terme,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660150,1243,"54,71",967,"42,56",40,"1,76",22,"0,97",28.54
Russi,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660160,2600,"54,75",2002,"42,16",109,"2,30",38,"0,80",29.87
Sant'Agata Sul Santerno,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660170,574,"51,81",492,"44,40",27,"2,44",15,"1,35",16.67
Solarolo,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660180,975,"56,65",685,"39,80",44,"2,56",17,"0,99",42.34
Albinea,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680010,2599,"63,42",1357,"33,11",72,"1,76",70,"1,71",91.53
Bagnolo In Piano,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680020,2323,"67,00",1016,"29,30",75,"2,16",53,"1,53",128.64
Baiso,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680030,640,"55,65",480,"41,74",17,"1,48",13,"1,13",33.33
Bibbiano,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680040,2265,"65,69",1072,"31,09",70,"2,03",41,"1,19",111.29
Boretto,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680050,789,"51,33",685,"44,57",31,"2,02",32,"2,08",15.18
Brescello,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680060,708,"49,00",700,"48,44",28,"1,94",9,"0,62",1.14
Cadelbosco Di Sopra,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680080,1905,"61,06",1124,"36,03",71,"2,28",20,"0,64",69.48
Campagnola Emilia,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680090,1276,"64,97",616,"31,36",32,"1,63",40,"2,04",107.14
Campegine,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680100,1122,"66,67",476,"28,28",69,"4,10",16,"0,95",135.71
Carpineti,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680110,840,"53,92",670,"43,00",23,"1,48",25,"1,60",25.37
Casalgrande,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680120,3325,"61,39",1926,"35,56",95,"1,75",70,"1,29",72.64
Casina,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680130,1013,"54,82",759,"41,07",35,"1,89",41,"2,22",33.47
Castellarano,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680140,2923,"52,99",2416,"43,80",107,"1,94",70,"1,27",20.99
Castelnovo Di Sotto,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680150,1920,"66,74",847,"29,44",66,"2,29",44,"1,53",126.68
Castelnovo Ne' Monti,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680160,1992,"50,13",1849,"46,53",79,"1,99",54,"1,36",7.73
Cavriago,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680170,2418,"68,58",923,"26,18",128,"3,63",57,"1,62",161.97
Canossa,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680180,594,"48,37",580,"47,23",31,"2,52",23,"1,87",2.41
Correggio,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680200,6499,"67,08",2868,"29,60",185,"1,91",137,"1,41",126.6
Fabbrico,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680210,1709,"72,79",553,"23,55",49,"2,09",37,"1,58",209.04
Gattatico,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680220,1167,"61,20",648,"33,98",63,"3,30",29,"1,52",80.09
Gualtieri,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680230,1280,"62,20",724,"35,18",21,"1,02",33,"1,60",76.8
Guastalla,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680240,2722,"55,30",2058,"41,81",78,"1,58",64,"1,30",32.26
Luzzara,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680260,1721,"62,86",936,"34,19",39,"1,42",42,"1,53",83.87
Montecchio Emilia,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680270,2185,"61,45",1206,"33,91",108,"3,04",57,"1,60",81.18
Novellara,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680280,3473,"70,49",1342,"27,24",71,"1,44",41,"0,83",158.79
Poviglio,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680290,1426,"61,92",792,"34,39",56,"2,43",29,"1,26",80.05
Quattro Castella,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680300,3429,"62,06",1919,"34,73",97,"1,76",80,"1,45",78.69
Reggiolo,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680320,2019,"65,36",947,"30,66",93,"3,01",30,"0,97",113.2
Reggio Nell'Emilia,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680330,37836,"64,86",18619,"31,92",1127,"1,93",755,"1,29",103.21
Rio Saliceto,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680340,1409,"62,37",763,"33,78",57,"2,52",30,"1,33",84.67
Rolo,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680350,827,"61,12",497,"36,73",17,"1,26",12,"0,89",66.4
Rubiera,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680360,3511,"64,83",1721,"31,78",87,"1,61",97,"1,79",104.01
San Martino In Rio,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680370,1812,"58,93",1158,"37,66",61,"1,98",44,"1,43",56.48
San Polo D'Enza,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680380,1241,"59,01",778,"36,99",46,"2,19",38,"1,81",59.51
Sant'Ilario D'Enza,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680390,2229,"59,11",1399,"37,10",99,"2,63",44,"1,17",59.33
Scandiano,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680400,6905,"65,64",3299,"31,36",198,"1,88",118,"1,12",109.31
Toano,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680410,600,"45,94",661,"50,61",16,"1,23",29,"2,22",-9.23
Ventasso,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680415,806,"45,56",907,"51,27",37,"2,09",19,"1,07",-11.14
Vetto,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680420,322,"46,80",356,"51,74",7,"1,02",3,"0,44",-9.55
Vezzano Sul Crostolo,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680430,1002,"61,17",565,"34,49",40,"2,44",31,"1,89",77.35
Viano,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680440,718,"54,19",560,"42,26",23,"1,74",24,"1,81",28.21
Villa Minozzo,Reggio Nell'Emilia,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080680450,662,"47,25",657,"46,90",30,"2,14",52,"3,71",0.76
Bellaria-Igea Marina,Rimini,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/081010010,2756,"45,09",3173,"51,91",75,"1,23",108,"1,77",-13.14
Casteldelci,Rimini,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/081010015,54,"32,53",109,"65,66",3,"1,81",0,0,-50.46
Cattolica,Rimini,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/081010020,2837,"55,42",2066,"40,36",116,"2,27",100,"1,95",37.32
Coriano,Rimini,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/081010030,1953,"51,79",1696,"44,97",57,"1,51",65,"1,72",15.15
Gemmano,Rimini,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/081010040,154,"41,96",195,"53,13",8,"2,18",10,"2,72",-21.03
Maiolo,Rimini,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/081010045,142,"41,16",195,"56,52",4,"1,16",4,"1,16",-27.18
Misano Adriatico,Rimini,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/081010050,2243,"54,47",1755,"42,62",49,"1,19",71,"1,72",27.81
Mondaino,Rimini,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/081010060,230,"54,12",183,"43,06",5,"1,18",7,"1,65",25.68
Montefiore Conca,Rimini,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/081010080,228,"45,51",246,"49,10",11,"2,20",16,"3,19",-7.32
Montegridolfo,Rimini,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/081010090,166,"60,81",96,"35,16",6,"2,20",5,"1,83",72.92
Montescudo-Monte Colombo,Rimini,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/081010101,727,"41,17",976,"55,27",28,"1,59",35,"1,98",-25.51
Morciano Di Romagna,Rimini,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/081010110,899,"43,94",1074,"52,49",26,"1,27",47,"2,30",-16.29
Novafeltria,Rimini,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/081010115,1184,"45,19",1374,"52,44",22,"0,84",40,"1,53",-13.83
Pennabilli,Rimini,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/081010116,472,"45,21",552,"52,87",9,"0,86",11,"1,05",-14.49
Poggio Torriana,Rimini,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/081010125,1034,"59,87",616,"35,67",35,"2,03",42,"2,43",67.86
Riccione,Rimini,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/081010130,5992,"47,86",6232,"49,78",113,"0,90",182,"1,45",-3.85
Rimini,Rimini,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/081010140,27587,"53,63",22337,"43,42",747,"1,45",773,"1,50",23.5
Saludecio,Rimini,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/081010150,330,"42,69",418,"54,08",8,"1,03",17,"2,20",-21.05
San Clemente,Rimini,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/081010160,757,"53,20",620,"43,57",21,"1,48",25,"1,76",22.1
San Giovanni In Marignano,Rimini,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/081010170,1741,"57,25",1184,"38,93",64,"2,10",52,"1,71",47.04
San Leo,Rimini,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/081010175,463,"44,73",531,"51,30",9,"0,87",32,"3,09",-12.81
Sant'Agata Feltria,Rimini,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/081010176,363,"52,53",313,"45,30",5,"0,72",10,"1,45",15.97
Santarcangelo Di Romagna,Rimini,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/081010180,5130,"61,83",2916,"35,15",88,"1,06",163,"1,96",75.93
Talamello,Rimini,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/081010185,185,"48,56",184,"48,29",3,"0,79",9,"2,36",0.54
Verucchio,Rimini,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/081010200,1662,"50,09",1507,"45,42",33,"0,99",116,"3,50",10.29
